player,shots,shrunk_goals_minus_xg,prob_better_than_xg
Cody Mathès Gakpo,18,0.6430062316860463,0.9293204131229952
Xherdan Shaqiri,29,0.7070500017866661,0.8723567736149843
Denis Cheryshev,13,0.302739481176639,0.8287335837656322
Bukayo Saka,15,0.3231804470504591,0.803109280492232
Patrik Schick,22,0.5038104945219359,0.7895127255286162
Kylian Mbappé Lottin,74,1.165803679311607,0.7857424713622492
Harry Kane,53,1.059485160837819,0.7760133391144652
Emil Peter Forsberg,28,0.3666549866633768,0.7640312198065417
