player,shots,goals_minus_xg_raw,goals_minus_xg_shrunk,skill_mean
Cody Mathès Gakpo,18,4.641773497947386,0.5029578782943027,0.3457219742204276
Xherdan Shaqiri,29,3.7093150490261912,0.6360645576864719,0.2691440258446529
Luka Modrić,21,1.9135642949991056,0.2957868732868614,0.2557553808015553
Emil Peter Forsberg,28,2.308141649476398,0.4321578713367846,0.2440443886908245
Denis Cheryshev,13,2.952964984008665,0.257401051268721,0.2415781841224236
Bukayo Saka,15,2.680188881274585,0.2716326479110489,0.2072086902143675
Salem Mohammed Al Dawsari,13,2.003260271401784,0.1934583318443118,0.1936337709603011
Haris Seferović,15,1.8815497248222144,0.2118064954572176,0.1888036734155624
