match_id,competition,period,event_index,team,player,minute,second,x,y,is_goal,statsbomb_xg,body_part,shot_type,technique,play_pattern,under_pressure,is_first_time,assisted,n_defenders_in_cone,n_defenders_within_3m,distance_to_nearest_defender,gk_distance_to_goal,gk_distance_to_shot,distance_x,distance_y,distance_to_goal,shot_angle,log_distance,inverse_distance,angle_distance_interaction,shot_in_box,is_open_play,goal_diff,game_state,is_penalty,xg_pred
7525,FIFA World Cup 2018,2,2732,Saudi Arabia,Salem Mohammed Al Dawsari,72,44,97.0,25.0,0,0.025765538,Right Foot,Open Play,Normal,Regular Play,no,no,yes,2.0,0.0,3.1622776601683795,2.23606797749979,26.40075756488817,23.0,15.0,27.459060435491963,0.24434090811656176,3.3484665786062764,0.035138194469444835,0.008585698346240499,0,1,-3,losing,0,0.03565240437930863
7525,FIFA World Cup 2018,2,2811,Russia,Roman Zobnin,76,25,110.0,42.0,0,0.089740254,Head,Open Play,Normal,From Free Kick,no,no,yes,2.0,1.0,2.0,1.0,9.219544457292887,10.0,2.0,10.198039027185569,0.7378150601297143,2.4157386761131243,0.08930134977850068,0.06588788075648913,1,1,3,winning,0,0.1836019873332923
7525,FIFA World Cup 2018,2,3006,Saudi Arabia,Hattan Babhir,81,31,104.0,57.0,0,0.025213882,Left Foot,Open Play,Normal,From Throw In,no,no,no,3.0,0.0,5.830951894845301,3.1622776601683795,20.518284528683193,16.0,17.0,23.345235059857504,0.23740305048326193,3.192336144952911,0.041075799742385115,0.009751520159881812,1,1,-3,losing,0,0.03768225697171902
7525,FIFA World Cup 2018,2,3088,Russia,Daler Kuzyaev,83,35,86.0,38.0,0,0.02450558,Right Foot,Open Play,Normal,Regular Play,no,no,yes,1.0,0.0,3.1622776601683795,2.0,32.0624390837628,34.0,2.0,34.058772731852805,0.23342802172753913,3.5570258740844225,0.028523531261305263,0.006658191475010107,0,1,3,winning,0,0.026601523402649645
7525,FIFA World Cup 2018,2,3249,Russia,Denis Cheryshev,90,46,104.0,23.0,1,0.040819477,Left Foot,Open Play,Normal,From Free Kick,no,no,yes,1.0,0.0,3.1622776601683795,2.23606797749979,21.213203435596427,16.0,17.0,23.345235059857504,0.23740305048326193,3.192336144952911,0.041075799742385115,0.009751520159881812,1,1,3,winning,0,0.032910459786018566
7525,FIFA World Cup 2018,2,3314,Russia,Aleksandr Golovin,93,57,99.0,52.0,1,0.0744545,Right Foot,Free Kick,Normal,From Free Kick,no,no,no,2.0,0.0,5.0990195135927845,2.23606797749979,23.021728866442675,21.0,12.0,24.186773244895647,0.28709776494054423,3.2263189854899537,0.0397033788439994,0.011398751326699917,0,0,4,winning,0,0.0660804527162332
7529,FIFA World Cup 2018,1,498,Nigeria,Alex Iwobi,12,36,89.0,40.0,0,0.018994473,Right Foot,Open Play,Normal,From Free Kick,no,no,no,3.0,1.0,2.8284271247461903,1.4142135623730951,30.01666203960727,31.0,0.0,31.0,0.25664645537549,3.4657359027997265,0.03125,0.008020201730484063,0,1,0,drawing,0,0.0252944998005916
7529,FIFA World Cup 2018,1,553,Croatia,Ivan Perišić,13,20,99.0,46.0,0,0.06695514,Right Foot,Open Play,Normal,Regular Play,no,yes,yes,2.0,0.0,5.0990195135927845,2.0,19.924858845171276,21.0,6.0,21.840329667841555,0.34946750356393563,3.1285278184770564,0.04378220518454108,0.015300457946365571,0,1,0,drawing,0,0.09623171607473573
7529,FIFA World Cup 2018,1,630,Croatia,Andrej Kramarić,15,22,86.0,35.0,0,0.019367732,Right Foot,Open Play,Normal,From Free Kick,no,no,yes,2.0,0.0,5.0,2.23606797749979,32.2490309931942,34.0,5.0,34.36568055487916,0.22936760376327306,3.5657418740431925,0.028276000470236585,0.006485598471867348,0,1,0,drawing,0,0.009974701924978227
7529,FIFA World Cup 2018,1,818,Nigeria,Odion Jude Ighalo,20,58,109.0,59.0,0,0.011507075,Right Foot,Open Play,Normal,Regular Play,no,no,yes,2.0,2.0,2.0,3.1622776601683795,18.867962264113206,11.0,19.0,21.95449840010015,0.18664328606994582,3.1335139260183156,0.043564445738253944,0.008131011308403564,1,1,0,drawing,0,0.02658921259488407
