player,shots,goals,xg_total,goals_minus_xg,std_error,z_score,p_value,ci_low,ci_high,significant,p_value_fdr_bh,significant_fdr
Salem Mohammed Al Dawsari,13,3,0.9967397285982157,2.003260271401784,0.9170039800402714,2.1845709669807634,0.028920318606253215,0.2059654968429656,3.8005550459606026,True,0.537751101228605,False
Youssef En-Nesyri,12,3,1.049675841474337,1.950324158525663,0.9650671125924796,2.020920755745647,0.04328796893964082,0.05882737518034187,3.841820941870984,True,0.537751101228605,False
Luka Modrić,21,3,1.0864357050008944,1.9135642949991056,0.984931210764305,1.9428405497620316,0.052035426802787166,-0.01686540534836145,3.8439939953465725,False,0.537751101228605,False
Haris Seferović,15,3,1.1184502751777858,1.8815497248222142,0.9922518234495037,1.8962421437343595,0.05792803279001024,-0.06322811273300943,3.826327562377438,False,0.537751101228605,False
Roman Yaremchuk,17,3,1.4247326032120848,1.5752673967879152,1.109829589754155,1.4193777236889693,0.15578892332508998,-0.5999586281070921,3.7504934216829224,False,0.8087280695606812,False
Mario Mandžukić,12,3,1.7793901472228284,1.2206098527771716,1.2020965857154673,1.015400814944238,0.3099148047514433,-1.1354561611637104,3.5766758667180536,False,0.8087280695606812,False
Andrej Kramarić,29,4,2.7817264833050914,1.2182735166949086,1.511567301417952,0.8059671015323538,0.4202618185538356,-1.7443439542926775,4.180890987682495,False,0.849279091660876,False
Lionel Andrés Messi Cuccittini,44,4,2.795156131830974,1.2048438681690259,1.575787597837435,0.7645978873183915,0.4445110275890072,-1.8836430708772331,4.293330807215285,False,0.8658273095903745,False
Breel-Donald Embolo,29,5,3.8144703445547474,1.1855296554452526,1.6829606303780584,0.7044310092856637,0.48116440041152475,-2.113012567494568,4.484071878385073,False,0.8975566699984211,False
Paul Pogba,15,2,0.8437355470532222,1.1562644529467778,0.8741375339891752,1.322748890177614,0.1859188990430991,-0.5570136312066629,2.8695425371002186,False,0.8087280695606812,False
Wahbi Khazri,17,3,1.8865776447196636,1.1134223552803364,1.1769839997750557,0.9459961694408189,0.3441505400018394,-1.193423894658672,3.420268605219345,False,0.8087280695606812,False
Lorenzo Insigne,19,2,0.9856900158057528,1.0143099841942473,0.9553426488267689,1.061723754759504,0.2883611119970011,-0.8581272004013163,2.886747168789811,False,0.8087280695606812,False
Kevin De Bruyne,35,3,1.9879464469091679,1.0120535530908321,1.3553206237676183,0.7467262988129351,0.45522879164029995,-1.6443260569980604,3.6684331631797247,False,0.8658273095903745,False
Marcus Rashford,16,3,2.0010252824444628,0.9989747175555372,1.2320774375801813,0.8108051386100688,0.4174775830637274,-1.4158526862660148,3.4138021213770893,False,0.849279091660876,False
Thomas Meunier,13,2,1.0362095010241823,0.9637904989758177,0.9387414661733003,1.026683633039699,0.30456945858267837,-0.8761089655181764,2.803689963469812,False,0.8087280695606812,False
Nicholas Williams Arthuer,12,2,1.0478984906860198,0.9521015093139802,0.9384868277116102,1.01450705667928,0.3103408639259517,-0.8872988729660225,2.791501891593983,False,0.8087280695606812,False
Joakim Mæhle,13,2,1.0622084468837107,0.9377915531162893,0.9576602373541223,0.97925288796293,0.32745504234451195,-0.9391880215238702,2.8147711277564484,False,0.8087280695606812,False
Federico Chiesa,24,2,1.1195584071663267,0.8804415928336733,1.0290209598058095,0.8556109420743235,0.392213015506659,-1.1364024277225522,2.897285613389899,False,0.849279091660876,False
Jamal Musiala,21,3,2.157835750002243,0.8421642499977571,1.332194091666731,0.6321633276004932,0.5272801578158239,-1.7688881900860869,3.453216690081601,False,0.9223074454443565,False
Niclas Füllkrug,17,4,3.1597889213309887,0.8402110786690113,1.426877728726234,0.5888458847970549,0.5559646621281571,-1.9564178799767205,3.636840037314743,False,0.9223074454443565,False
Denzel Dumfries,12,3,2.2953480169852516,0.7046519830147484,1.190744216070678,0.591774432749311,0.554001646074257,-1.6291637952831608,3.0384677613126576,False,0.9223074454443565,False
Fabián Ruiz Peña,18,2,1.3805453226469888,0.6194546773530112,1.0814395593273531,0.5728056385678244,0.5667763008590845,-1.5001279103854679,2.7390372650914903,False,0.9223074454443565,False
Heung-Min Son,23,2,1.4240407211484438,0.5759592788515562,1.117232634425754,0.5155231427227269,0.6061875019351322,-1.6137764469757259,2.765695004678838,False,0.9424533645873414,False
Ciro Immobile,18,2,1.4771329703056695,0.5228670296943305,1.1221716245487456,0.4659421235183958,0.6412569284821086,-1.6765489388940147,2.722282998282676,False,0.9424533645873414,False
Mikel Oyarzabal Ugarte,15,2,1.481206209261591,0.518793790738409,1.0953811118836039,0.47361944177246,0.6357713089252337,-1.628113737898894,2.665701319375712,False,0.9424533645873414,False
Raheem Sterling,26,4,3.593855923385256,0.40614407661474416,1.613535186464117,0.25171070331894263,0.801264683274028,-2.7563267766430455,3.568614929872534,False,0.9733659459549435,False
Luis Alberto Suárez Díaz,16,2,1.602233481584217,0.39776651841578303,1.156726012876391,0.3438727183342844,0.730942009704777,-1.8693748068025582,2.6649078436341243,False,0.9709412939091973,False
Bruno Miguel Borges Fernandes,24,2,1.6153503660738595,0.3846496339261405,1.0388145292199717,0.37027748756553047,0.7111757459626515,-1.6513894299619358,2.420688697814217,False,0.9709412939091973,False
Edinson Roberto Cavani Gómez,19,3,2.6331240851010422,0.36687591489895777,1.3777016067486558,0.26629562824186326,0.7900115397448599,-2.3333696157713724,3.067121445569288,False,0.9733659459549435,False
Carlos Henrique Casimiro,13,1,0.6872698508823861,0.3127301491176139,0.7889380797562413,0.3963937818976089,0.6918145525437258,-1.233560073236808,1.8590203714720355,False,0.9709412939091973,False
Andriy Yarmolenko,14,2,1.6900830925585333,0.3099169074414667,1.1685300003066046,0.26521947006936,0.7908403968709758,-1.9803598080140565,2.60019362289699,False,0.9733659459549435,False
Philippe Coutinho Correia,23,2,1.7039258963130617,0.2960741036869383,1.2195896849847694,0.24276533930396088,0.8081871876510931,-2.0942777547997595,2.6864259621736366,False,0.9733659459549435,False
Aurélien Djani Tchouaméni,18,1,0.7075718630297252,0.2924281369702748,0.813834516108806,0.3593213745325819,0.7193546860400724,-1.3026582039785672,1.8875144779191169,False,0.9709412939091973,False
Granit Xhaka,18,1,0.8602483908443088,0.13975160915569118,0.8924242421724237,0.15659772846991984,0.8755618928758564,-1.6093677644327105,1.8888709827440928,False,0.9991768646091868,False
Harry Maguire,25,2,1.8776482632868559,0.12235173671314414,1.2884429981995926,0.0949609232881179,0.9243458653074257,-2.4029501358908627,2.6476536093171514,False,0.9991768646091868,False
Hakim Ziyech,19,1,0.8902425075601477,0.10975749243985233,0.9120707645540903,0.12033879026208297,0.9042147771817686,-1.677868357438076,1.8973833423177806,False,0.9991768646091868,False
Toni Kroos,23,1,0.8968290628624181,0.10317093713758185,0.9246171579357481,0.11158233032135798,0.9111545828792611,-1.7090453919042674,1.915387266179431,False,0.9991768646091868,False
Steven Zuber,12,1,0.941265785118475,0.05873421488152497,0.9024587810608057,0.06508243491462863,0.9481083656864737,-1.710052493529572,1.8275209232926217,False,0.9991768646091868,False
João Félix Sequeira,18,1,0.9490381054693848,0.05096189453061517,0.9311712351696302,0.05472881099181668,0.9563545159020119,-1.774100189841537,1.8760239789027673,False,0.9991768646091868,False
John Stones,16,2,1.998777358534864,0.001222641465135954,1.1851350170036186,0.0010316474052274342,0.9991768646091868,-2.321599308679221,2.3240445916094927,False,0.9991768646091868,False
Olivier Giroud,36,4,4.011021165528365,-0.01102116552836474,1.8256953033982457,-0.00603669490075949,0.9951834435943299,-3.589318206932853,3.5672758758761236,False,0.9991768646091868,False
