player,shots,goals,xg_total,goals_minus_xg,u_hat,u_se,u_ci_low,u_ci_high,odds_multiplier,shrunk_goals_minus_xg,prob_better_than_xg
Cody Mathès Gakpo,18,6,1.358226502052614,4.641773497947386,0.45531017282851116,0.3095772024467442,-0.15144999440177254,1.0620703400587947,1.5766623450178714,0.6430062316860463,0.9293204131229951
Xherdan Shaqiri,29,6,2.2906849509738088,3.7093150490261912,0.3418458055984017,0.3004966761305609,-0.24711685709149456,0.930808468288298,1.407543245491967,0.7070500017866661,0.8723567736149843
Denis Cheryshev,13,4,1.047035015991335,2.952964984008665,0.30176165587580245,0.3179207390074818,-0.32135154251722015,0.924874854268825,1.3522388901035225,0.30273948117663907,0.8287335837656322
Bukayo Saka,15,4,1.3198111187254145,2.6801888812745855,0.2683751881734815,0.3147063221843561,-0.34843786901491514,0.8851882453618781,1.3078377332271351,0.3231804470504591,0.803109280492232
Patrik Schick,22,5,2.367637789780476,2.632362210219524,0.2423625044962428,0.3011718294316958,-0.3479234343479212,0.8326484433404069,1.274256032642828,0.5038104945219359,0.7895127255286162
Emil Peter Forsberg,28,4,1.691858350523602,2.308141649476398,0.2210627848857343,0.30731758340977927,-0.38126861041331717,0.8233941801847857,1.2474017460816162,0.3666549866633768,0.7640312198065417
Salem Mohammed Al Dawsari,13,3,0.9967397285982157,2.003260271401784,0.20679596043772527,0.3202118025802116,-0.4208076400441394,0.83439956091959,1.229731632276865,0.18707217207524718,0.7407987704499929
Kylian Mbappé Lottin,74,10,7.0281976464614475,2.9718023535385525,0.20563576565913386,0.25972793640349684,-0.3034216354706295,0.7146931667888973,1.2283057313793613,1.1658036793116073,0.7857424713622492
Harry Kane,53,10,7.180362359060678,2.8196376409393222,0.2004155972470069,0.26412241693030125,-0.3172548274460558,0.7180860219400695,1.2219104752795586,1.059485160837819,0.7760133391144652
Youssef En-Nesyri,12,3,1.049675841474337,1.950324158525663,0.19923711051072623,0.318357479823701,-0.4247320841526646,0.8232063051741171,1.2204713181718627,0.20052175287008644,0.7342862061262336
Ferrán Torres García,16,4,1.9665093505327467,2.0334906494672533,0.19673643992647757,0.309711507140653,-0.41028695966682205,0.8037598395197773,1.2174231342879256,0.3056504143774599,0.7373591048198173
Luka Modrić,21,3,1.0864357050008944,1.9135642949991056,0.1946314602496739,0.3175947878876142,-0.4278428856876877,0.8171058061870355,1.2148631786047728,0.20421107014995155,0.7300054639927264
Haris Seferović,15,3,1.1184502751777858,1.8815497248222142,0.19116116827245158,0.3174836703146434,-0.4310953912238379,0.813417727768741,1.2106545554618793,0.20267438250460734,0.7264506681967446
Ivan Perišić,51,6,3.7638296240635025,2.2361703759364975,0.1831071242778641,0.2835278569859906,-0.3725972640285006,0.7388115125842288,1.2009430513474308,0.6280297753588151,0.7408010777451446
Álvaro Borja Morata Martín,39,7,4.802321180790539,2.197678819209461,0.17079802905321,0.2764574764574504,-0.3710486680602227,0.7126447261666427,1.1862511365599666,0.6976430008198538,0.7316495084724498
Roman Yaremchuk,17,3,1.4247326032120848,1.5752673967879152,0.1561676148665233,0.31370484447256575,-0.45868258207544466,0.7710178118084913,1.1690221321577425,0.20372337329524082,0.6906934952616366
Paul Pogba,15,2,0.8437355470532222,1.1562644529467778,0.12062752274508749,0.3223259989204436,-0.5111198264198783,0.7523748719100533,1.128204603540758,0.09685173135812897,0.6458873945595165
Mario Mandžukić,12,3,1.7793901472228284,1.2206098527771716,0.11870832814244515,0.3110201957182848,-0.4908800539299918,0.7282967102148821,1.126041435788871,0.17805248170036436,0.6486484132657149
