config,split,brier,log_loss,roc_auc,pr_auc,ece,mean_pred
por_defecto,cv_oof,0.07549091952142756,,,,,
ajustado,cv_oof,0.07391320990848024,,,,,
por_defecto,test,0.06594098375663128,0.24058452708328046,0.7444283683622702,0.20321001641259254,0.017646192239129263,0.08862423909936863
ajustado,test,0.06516056539332095,0.23939692168732132,0.7466028700037229,0.23167932116268058,0.012644988914721256,0.08737147944635527
