bin,n_shots,mean_pred,obs_freq,obs_ci_low,obs_ci_high
"[0.0, 0.1)",982,0.04646612536630456,0.03767820773930754,0.027457417326463042,0.051502123435460574
"[0.1, 0.2)",186,0.14001215796674277,0.15053763440860216,0.1062508949159088,0.2089676873126439
"[0.2, 0.3)",74,0.24642466447380953,0.25675675675675674,0.17097575848977573,0.36654659459649164
"[0.3, 0.4)",33,0.34113207801122053,0.15151515151515152,0.06650359257960956,0.30920213138460484
"[0.4, 0.5)",19,0.44914634264462794,0.3157894736842105,0.15364171004428598,0.5398998982493537
"[0.5, 0.6)",7,0.5535294516458414,0.42857142857142855,0.15821692226262685,0.7495457695909742
"[0.6, 0.7)",3,0.6642469589501483,0.0,0.0,0.5615060804490177
