model,roc_auc,pr_auc,log_loss,brier_score,ece,base_rate,mean_pred,precision,recall,f1
hist_gradient_boosting,0.7557367401963402,0.315838236323187,0.27161770404312713,0.07549091952142756,0.014665514170334197,0.09507205950720594,0.08832893246513975,0.5301204819277109,0.10757946210268948,0.1788617886178862
gradient_boosting,0.7624367477957114,0.3266509696276089,0.27185165266415473,0.07594788922274043,0.01699203810626145,0.09507205950720594,0.09230451383561705,0.5,0.16136919315403422,0.24399260628465805
random_forest,0.7722832718998491,0.33424814122043817,0.46286598227028347,0.1478561615679867,0.2439929030658684,0.09507205950720594,0.3390649625730744,0.25654450261780104,0.5990220048899756,0.35923753665689145
logistic_splines,0.7827528188328747,0.35486541126241905,0.5279158810630366,0.17420016472054048,0.28136518243207737,0.09507205950720594,0.3764372419392833,0.22249388753056235,0.6674816625916871,0.33374083129584353
logistic_regression,0.786925564473128,0.3525017331381502,0.5337041630519256,0.17541278647034123,0.2874600671203736,0.09507205950720594,0.38253212662757957,0.23346938775510204,0.6992665036674817,0.35006119951040393
