em_iter,tau
0,0.5
1,0.48847626942956224
2,0.4783376325876365
3,0.46933566850775077
4,0.46127991253269196
5,0.454021605471391
6,0.4474426719042066
7,0.4414480532178882
8,0.43596025426053037
9,0.4309153873259509
10,0.42626025150354746
11,0.42195014218667226
12,0.41794718469543735
13,0.41421905018053606
14,0.4107379544384162
15,0.4074798688925048
16,0.40442389262998535
17,0.4015517480687513
18,0.3988473725084013
19,0.39629658475829327
20,0.3938868110730487
21,0.39160685832538666
22,0.3894467250925812
23,0.3873974433923457
24,0.38545094536294594
25,0.38359995037292466
26,0.381837868962594
27,0.38015872073090967
28,0.3785570638375268
29,0.3770279342276555
30,0.3755667930342452
31,0.37416948088860885
32,0.3728321780924125
33,0.37155136978283915
34,0.37032381536777037
35,0.36914652162600664
36,0.3680167189643147
37,0.3669318404026848
38,0.36588950292494005
39,0.36488749088639755
40,0.3639237412157266
41,0.36299633018614924
42,0.3621034615630253
43,0.36124345596172297
44,0.36041474127238154
45,0.35961584402742014
46,0.35884538160402
47,0.358102055167777
48,0.3573846432756684
49,0.35669199606673874
50,0.3560230299777272
51,0.35537672292847206
52,0.35475210992851053
53,0.35414827906199453
54,0.3535643678130057
55,0.35299955969766716
56,0.3524530811732209
57,0.35192419879753717
58,0.3514122166154116
59,0.3509164737505439
60,0.3504363421843278
61,0.34997122470455033
62,0.34952055300883844
63,0.3490837859492314
64,0.3486604079056232
65,0.34824992727702836
66,0.34785187508070536
67,0.3474658036501303
68,0.3470912854236721
69,0.34672791181658397
70,0.34637529216961116
71,0.3460330527681313
72,0.34570083592629264
73,0.34537829913110907
74,0.34506511424192116
75,0.3447609667410282
76,0.3444655550316621
77,0.344178589779801
78,0.34389979329661274
79,0.34362889895859133
80,0.3433656506626874
81,0.3431098023139574
82,0.3428611173434546
83,0.34261936825426825
84,0.3423843361937803
85,0.342155810550364
86,0.34193358857288325
87,0.3417174750114791
88,0.3415072817782423
89,0.3413028276264806
90,0.3411039378473808
91,0.34091044398295645
92,0.34072218355425327
93,0.3405389998038569
94,0.34036074145181816
95,0.34018726246417164
96,0.340018421833283
97,0.3398540833693127
98,0.33969411550213297
99,0.33953839109308065
100,0.3393867872559699
101,0.33923918518682783
102,0.3390954700018514
103,0.3389555305831169
104,0.3388192594316048
105,0.3386865525271303
106,0.33855730919479643
107,0.3384314319776107
108,0.3383088265149307
109,0.33818940142642095
110,0.33807306820122857
111,0.3379597410920984
112,0.3378493370141679
113,0.3377417754481982
114,0.33763697834801004
115,0.33753487005190896
116,0.3374353771978978
