conjunto,n_features,brier,delta_brier,log_loss,roc_auc,pr_auc,ece,mean_pred,base_rate,n
geometria,4,0.08055012444455921,,0.2879804674886464,0.7124187542432439,0.23374677646052663,0.012978138020968182,0.09456440534030773,0.09507205950720594,4302
+no_lineales,8,0.08067365350342993,0.00012352905887072496,0.2894449952019067,0.7076060284995261,0.235794417511075,0.014169733483974972,0.09430138083432146,0.09507205950720594,4302
+defensivas,13,0.0762858612770353,-0.004387792226394641,0.2740976760011705,0.7521195023102717,0.30787030486851114,0.013848371395329524,0.09084544791736274,0.09507205950720594,4302
+contexto,23,0.07549091952142756,-0.0007949417556077365,0.27161770404312713,0.7557367401963402,0.315838236323187,0.014665514170334197,0.08832893246513975,0.09507205950720594,4302
