variant,split,n,base_rate,mean_pred,brier,log_loss,ece,roc_auc,pr_auc
logistica_balanced_sincal,cv_oof,4302,0.09507205950720594,0.38253212662757957,0.17541278647034123,0.5337041630519256,0.2874600671203736,0.786925564473128,0.3525017331381502
logistica_balanced_sincal,test,1304,0.07515337423312883,0.3740835877812918,0.17448256341346052,0.5293314942956698,0.29893021354816296,0.7614563238230616,0.25157915246396423
logistica_balanced_calibrada,cv_oof,4302,0.09507205950720594,0.0942800501047737,0.07327520668204159,0.2685641750277626,0.007239561793076232,0.7876870717110581,0.35012320211639814
logistica_balanced_calibrada,test,1304,0.07515337423312883,0.08447846772990687,0.06422539465191177,0.23417424418667313,0.012784618873212852,0.7613378684807257,0.2533453825927214
logistica_sinpeso_sincal,cv_oof,4302,0.09507205950720594,0.09450628847616885,0.07282111692607443,0.260791319211579,0.007012277858768504,0.7890703456834629,0.3618444575666799
logistica_sinpeso_sincal,test,1304,0.07515337423312883,0.08426142277514477,0.06307640635707426,0.231596286236508,0.009798700544654603,0.76783599011744,0.26196611206019227
logistica_sinpeso_calibrada,cv_oof,4302,0.09507205950720594,0.09451389923500902,0.07264884700468133,0.27372324725010294,0.00620296323907599,0.7873476121959231,0.35849032469362163
logistica_sinpeso_calibrada,test,1304,0.07515337423312883,0.08421174407519302,0.0637274212336691,0.23315567366678447,0.011274032623792264,0.7600856262903172,0.26046650823566597
hgb_calibrado,cv_oof,4302,0.09507205950720594,0.0947983431902856,0.0749728610242453,0.26670789961778757,0.005339096370159278,0.7632331116536044,0.3207128667535515
hgb_calibrado,test,1304,0.07515337423312883,0.08862423909936863,0.06594098375663128,0.24058452708328046,0.017646192239129263,0.7444283683622702,0.20321001641259254
