player,shots,xg_total,goals,goals_minus_xg,xg_per_shot,conversion
Raphael Dias Belloli,8,0.7787066406082441,0,-0.7787066406082441,0.09733833007603052,0.0
Benjamin Šeško,8,0.7776353249110988,0,-0.7776353249110988,0.09720441561388735,0.0
Remo Freuler,6,0.7745540412920033,2,1.2254459587079967,0.1290923402153339,0.3333333333333333
Carlos Soler Barragán,4,0.7680748179642329,1,0.23192518203576706,0.19201870449105823,0.25
Javier Hernández Balcázar,6,0.767125349646197,1,0.23287465035380295,0.12785422494103285,0.16666666666666666
Leonardo Spinazzola,7,0.7661931685068324,0,-0.7661931685068324,0.10945616692954749,0.0
Roman Zobnin,10,0.763347276885998,0,-0.763347276885998,0.07633472768859981,0.0
Mario Pašalić,8,0.762540439403642,1,0.23745956059635798,0.09531755492545525,0.125
Antonio Rüdiger,12,0.7619495006198965,0,-0.7619495006198965,0.06349579171832472,0.0
Mislav Oršić,11,0.7564681906932239,2,1.2435318093067762,0.06876983551756581,0.18181818181818182
Thorgan Hazard,7,0.7455204960854773,2,1.2544795039145227,0.10650292801221105,0.2857142857142857
Mohammed Kudus,8,0.7411079415541412,2,1.2588920584458587,0.09263849269426765,0.25
Sergej Milinković-Savić,11,0.7395559281969233,1,0.2604440718030767,0.0672323571088112,0.09090909090909091
Khalid Boutaïb,4,0.7332631399551519,1,0.2667368600448481,0.18331578498878798,0.25
Fabian Lukas Schär,10,0.7265025776720089,0,-0.7265025776720089,0.07265025776720088,0.0
Vinícius José Paixão de Oliveira Júnior,9,0.7231239111562643,1,0.2768760888437357,0.08034710123958493,0.1111111111111111
Matthijs de Ligt,4,0.7210202665638498,0,-0.7210202665638498,0.18025506664096244,0.0
Jonathan David,8,0.7153005203587702,0,-0.7153005203587702,0.08941256504484628,0.0
Bruno Guimarães Rodriguez Moura,5,0.713725508979848,0,-0.713725508979848,0.1427451017959696,0.0
Vitor Machado Ferreira,10,0.7124757411858651,0,-0.7124757411858651,0.07124757411858651,0.0
Giovanni Di Lorenzo,7,0.7102388915651423,0,-0.7102388915651423,0.10146269879502033,0.0
Lorenzo Pellegrini,7,0.7081410872044483,0,-0.7081410872044483,0.10116301245777834,0.0
Aurélien Djani Tchouaméni,18,0.7075718630297252,1,0.2924281369702748,0.03930954794609584,0.05555555555555555
Nikola Vlašić,8,0.7073920694878625,1,0.2926079305121375,0.08842400868598281,0.125
Mikkel Damsgaard,10,0.7070748576836814,2,1.2929251423163186,0.07070748576836813,0.2
Merih Demiral,6,0.7057052017865982,2,1.2942947982134019,0.11761753363109971,0.3333333333333333
Lovro Majer,6,0.7021612228607136,1,0.2978387771392864,0.1170268704767856,0.16666666666666666
Ivan Schranz,5,0.7018936186900733,3,2.2981063813099265,0.14037872373801466,0.6
José Andrés Guardado Hernández,8,0.6999453133477154,0,-0.6999453133477154,0.08749316416846442,0.0
Boulaye Dia,8,0.6958085906346243,1,0.3041914093653757,0.08697607382932804,0.125
Xavi Simons,11,0.691820066321913,1,0.30817993367808705,0.06289273330199209,0.09090909090909091
Carlos Henrique Casimiro,13,0.6872698508823861,1,0.3127301491176139,0.05286691160633739,0.07692307692307693
Nacer Chadli,5,0.6871345465993376,1,0.3128654534006624,0.1374269093198675,0.2
Virgil van Dijk,8,0.6848286155876477,0,-0.6848286155876477,0.08560357694845597,0.0
Florian Wirtz,8,0.6839978175088767,2,1.3160021824911232,0.08549972718860958,0.25
Phil Foden,13,0.6790852755887167,0,-0.6790852755887167,0.05223732889143974,0.0
Mohamed Salisu,2,0.6754901821563386,1,0.3245098178436614,0.3377450910781693,0.5
Jorge Resurrección Merodio,8,0.6749342941299356,0,-0.6749342941299356,0.08436678676624194,0.0
Vincent Kompany,6,0.6747923339371656,0,-0.6747923339371656,0.11246538898952761,0.0
Juraj Kucka,13,0.6671497744235543,0,-0.6671497744235543,0.05131921341719648,0.0
Muhammed Kerem Aktürkoğlu,6,0.6651618024844985,1,0.3348381975155015,0.11086030041408308,0.16666666666666666
