player,shots,freq_goals_minus_xg,p_value,significant,u_hat,u_se,odds_multiplier,shrunk_goals_minus_xg,prob_better_than_xg
Cody Mathès Gakpo,18,4.641773497947386,2.0679599822770456e-05,True,0.45531017282851116,0.3095772024467442,1.5766623450178714,0.6430062316860463,0.9293204131229951
Xherdan Shaqiri,29,3.7093150490261912,0.006424649363057755,True,0.3418458055984017,0.3004966761305609,1.407543245491967,0.7070500017866661,0.8723567736149843
Denis Cheryshev,13,2.952964984008665,0.0018481691913427856,True,0.30176165587580245,0.3179207390074818,1.3522388901035225,0.30273948117663907,0.8287335837656322
Bukayo Saka,15,2.6801888812745855,0.010526610221932797,True,0.2683751881734815,0.3147063221843561,1.3078377332271351,0.3231804470504591,0.803109280492232
Patrik Schick,22,2.632362210219524,0.0574351178974295,False,0.2423625044962428,0.3011718294316958,1.274256032642828,0.5038104945219359,0.7895127255286162
Emil Peter Forsberg,28,2.308141649476398,0.06098208364448099,False,0.2210627848857343,0.30731758340977927,1.2474017460816162,0.3666549866633768,0.7640312198065417
Salem Mohammed Al Dawsari,13,2.003260271401784,0.028920318606253215,True,0.20679596043772527,0.3202118025802116,1.229731632276865,0.18707217207524718,0.7407987704499929
Kylian Mbappé Lottin,74,2.9718023535385525,0.19707884210529203,False,0.20563576565913386,0.25972793640349684,1.2283057313793613,1.1658036793116073,0.7857424713622492
Harry Kane,53,2.8196376409393222,0.20835484368203527,False,0.2004155972470069,0.26412241693030125,1.2219104752795586,1.059485160837819,0.7760133391144652
Youssef En-Nesyri,12,1.950324158525663,0.04328796893964082,True,0.19923711051072623,0.318357479823701,1.2204713181718627,0.20052175287008644,0.7342862061262336
Ferrán Torres García,16,2.0334906494672533,0.09309039011723197,False,0.19673643992647757,0.309711507140653,1.2174231342879256,0.3056504143774599,0.7373591048198173
Luka Modrić,21,1.9135642949991056,0.052035426802787166,False,0.1946314602496739,0.3175947878876142,1.2148631786047728,0.20421107014995155,0.7300054639927264
Haris Seferović,15,1.8815497248222142,0.05792803279001024,False,0.19116116827245158,0.3174836703146434,1.2106545554618793,0.20267438250460734,0.7264506681967446
Ivan Perišić,51,2.2361703759364975,0.211912895467548,False,0.1831071242778641,0.2835278569859906,1.2009430513474308,0.6280297753588151,0.7408010777451446
Álvaro Borja Morata Martín,39,2.197678819209461,0.26396236153453967,False,0.17079802905321,0.2764574764574504,1.1862511365599666,0.6976430008198538,0.7316495084724498
Roman Yaremchuk,17,1.5752673967879152,0.15578892332508998,False,0.1561676148665233,0.31370484447256575,1.1690221321577425,0.20372337329524082,0.6906934952616366
Paul Pogba,15,1.1562644529467778,0.1859188990430991,False,0.12062752274508749,0.3223259989204436,1.128204603540758,0.09685173135812897,0.6458873945595165
Mario Mandžukić,12,1.2206098527771716,0.3099148047514433,False,0.11870832814244515,0.3110201957182848,1.126041435788871,0.17805248170036436,0.6486484132657149
Andrej Kramarić,29,1.2182735166949086,0.4202618185538356,False,0.10924645177795242,0.298316848340859,1.1154372179548098,0.25881519268902187,0.642895607937272
Wahbi Khazri,17,1.1134223552803364,0.3441505400018394,False,0.1090469584593671,0.3122938884663673,1.1152147178769038,0.15571608383071278,0.6365231244886869
Lionel Andrés Messi Cuccittini,44,1.2048438681690259,0.4445110275890072,False,0.10593845304665955,0.295103803723758,1.1117534493631374,0.27443808424005534,0.640197623007821
Lorenzo Insigne,19,1.0143099841942473,0.2883611119970011,False,0.1041712893523616,0.319769183882596,1.1097905339376768,0.09942433743020163,0.6277009083318874
Breel-Donald Embolo,29,1.1855296554452526,0.48116440041152475,False,0.10138787495387537,0.2914644988735358,1.1067058219935713,0.2950893803186627,0.6360260925388093
Thomas Meunier,13,0.9637904989758177,0.30456945858267837,False,0.09940257580258466,0.3206118278639144,1.1045108594140496,0.09078613838326932,0.6217348312198736
Nicholas Williams Arthuer,12,0.9521015093139802,0.3103408639259517,False,0.09821480148619709,0.3206630468847787,1.1031997286009652,0.08952879145537396,0.6203067879767875
Marcus Rashford,16,0.9989747175555372,0.4174775830637274,False,0.09659726740457934,0.3103424242748252,1.1014167078782757,0.1506080129240317,0.6221986167444882
Joakim Mæhle,13,0.9377915531162893,0.32745504234451195,False,0.09635209188906124,0.3199804104450544,1.1011467005700644,0.09157810550483214,0.6183380170095276
Kevin De Bruyne,35,1.0120535530908321,0.45522879164029995,False,0.0946275381203583,0.3046782033949939,1.0992493503891443,0.180986020441821,0.6219407590909994
Federico Chiesa,24,0.8804415928336733,0.392213015506659,False,0.08907306480061038,0.31736311486150226,1.0931605249642933,0.09815629132689296,0.6105167403186803
Jamal Musiala,21,0.8421642499977571,0.5272801578158239,False,0.07941561402899065,0.30639458621082166,1.0826541948490447,0.14469563022944643,0.6022571892087134
Niclas Füllkrug,17,0.8402110786690113,0.5559646621281571,False,0.07739651860726217,0.302982239201329,1.0804704180896303,0.16047518960098062,0.6008118463294289
Denzel Dumfries,12,0.7046519830147484,0.554001646074257,False,0.06896940508684102,0.3126034011054646,1.0714034291520251,0.09892732344591204,0.5873093771488749
Fabián Ruiz Peña,18,0.6194546773530112,0.5667763008590845,False,0.06207883344660548,0.3161444326395778,1.0640462238529238,0.07424654907454875,0.5778366810615467
Heung-Min Son,23,0.5759592788515562,0.6061875019351322,False,0.05725797522651943,0.3148508247002548,1.0589289525984389,0.07309039796133088,0.5721527100822372
Ciro Immobile,18,0.5228670296943305,0.6412569284821086,False,0.05194441829957323,0.31481096609965514,1.0533171957254877,0.0666645287246157,0.565528770155469
Mikel Oyarzabal Ugarte,15,0.518793790738409,0.6357713089252337,False,0.05186582975850039,0.3158654427877333,1.0532344203164306,0.06328149460991916,0.5652140516892685
Luis Alberto Suárez Díaz,16,0.39776651841578303,0.730942009704777,False,0.03923294025240206,0.313778485726357,1.040012716260827,0.0532027317867918,0.5497516341697143
Bruno Miguel Borges Fernandes,24,0.3846496339261405,0.7111757459626515,False,0.03895589999447353,0.31804015556529286,1.039724630777146,0.042517956814467794,0.5487434732650045
Raheem Sterling,26,0.40614407661474416,0.801264683274028,False,0.03559598609202062,0.29573812954843276,1.0362371077049957,0.0935218852175903,0.5479022771497786
Edinson Roberto Cavani Gómez,19,0.36687591489895777,0.7900115397448599,False,0.034294336490964354,0.3054924278921635,1.034889167550351,0.06568547734229302,0.5446910557353684
Carlos Henrique Casimiro,13,0.3127301491176139,0.6918145525437258,False,0.0332215205067099,0.32578151140330064,1.0337795172411934,0.020961731310492948,0.5406116807983607
Aurélien Djani Tchouaméni,18,0.2924281369702748,0.7193546860400724,False,0.030932129270089485,0.3250772267443677,1.031415498588164,0.020766326225745035,0.5379034177606387
Andriy Yarmolenko,14,0.3099169074414667,0.7908403968709758,False,0.03050016609934576,0.31350638267240466,1.0309700612922192,0.04204881862647358,0.5387508497147536
Philippe Coutinho Correia,23,0.2960741036869383,0.8081871876510931,False,0.02878365371997425,0.31154997390423766,1.0292019063832878,0.04328130623238757,0.5368053361595521
Granit Xhaka,18,0.13975160915569118,0.8755618928758564,False,0.01458189294477651,0.32293516466195665,1.0146887273969278,0.011685952670433375,0.518007817148261
Harry Maguire,25,0.12235173671314414,0.9243458653074257,False,0.011708085878209097,0.30922870725342644,1.0117768937897793,0.019525326599103776,0.5151012329338096
Hakim Ziyech,19,0.10975749243985233,0.9042147771817686,False,0.011411043774444353,0.3223678618015538,1.0114763980848551,0.009539858303420412,0.5141186447827409
Toni Kroos,23,0.10317093713758185,0.9111545828792611,False,0.01070061324441192,0.32198205274655195,1.0107580695627172,0.009192667983483616,0.5132558362370123
Steven Zuber,12,0.05873421488152497,0.9481083656864737,False,0.006118899313353282,0.3227368745249219,1.0061376580191166,0.0049949054174206475,0.5075632553978068
João Félix Sequeira,18,0.05096189453061517,0.9563545159020119,False,0.005280198477958674,0.3218541565423375,1.0052941632941235,0.004588485604000603,0.5065445789391803
John Stones,16,0.001222641465135954,0.9991768646091868,False,0.0001200185556768117,0.3133095650122946,1.0001200257581917,0.00016857700441264,0.5001528216194718
Olivier Giroud,36,-0.01102116552836474,0.9951834435943299,False,-0.0009097393035305479,0.2873182775508156,0.9990906743838109,-0.0030313687592951055,0.4987368263899448
Hirving Rodrigo Lozano Bahena,18,-0.01613511198269757,0.986595697828911,False,-0.0016626889825486957,0.3210211739259149,0.9983386925190024,-0.0015325252755182817,0.49793373763943755
