player,shots,goals,xg_total,raw_conversion,expected_conversion,conv_mean,conv_hdi_low,conv_hdi_high,skill_mean,skill_hdi_low,skill_hdi_high,shrinkage,goals_minus_xg_raw,goals_minus_xg_shrunk
Cody Mathès Gakpo,18,6,1.358226502052614,0.3333333333333333,0.0754570278918119,0.10339913224149538,0.06492276314450908,0.1495043798327877,0.3457219742204276,-0.16169462411584945,0.7672426308176976,0.8916453207988901,4.641773497947386,0.5029578782943027
Xherdan Shaqiri,29,6,2.2906849509738088,0.20689655172413793,0.07898913624047617,0.1009223968503545,0.06383224413284357,0.1452824393799071,0.2691440258446529,-0.22937472542711745,0.6840701344221685,0.8285223688795433,3.7093150490261912,0.6360645576864719
Luka Modrić,21,3,1.0864357050008944,0.14285714285714285,0.05173503357147116,0.06582012277560742,0.0358199831215611,0.10402958500089787,0.25575538080155535,-0.3842733115612207,0.7552667160792348,0.8454262163754473,1.9135642949991056,0.2957868732868614
Emil Peter Forsberg,28,4,1.691858350523602,0.14285714285714285,0.060423512518700075,0.07585772220929952,0.04390148490744626,0.115568569262242,0.24404438869082457,-0.33686189351858076,0.7089699588733067,0.8127680459148512,2.308141649476398,0.4321578713367846
Denis Cheryshev,13,4,1.047035015991335,0.3076923076923077,0.08054115507625655,0.10034123594308124,0.06202449045839041,0.14654500132195397,0.2415781841224236,-0.2811775370195271,0.673056730300515,0.9128330160829412,2.952964984008665,0.25740105126872104
Bukayo Saka,15,4,1.3198111187254145,0.26666666666666666,0.08798740791502763,0.10609625110909755,0.06683881229797585,0.15304859538657747,0.2072086902143675,-0.29783392977184286,0.6275722531251688,0.8986516771975146,2.6801888812745855,0.2716326479110489
Salem Mohammed Al Dawsari,13,3,0.9967397285982157,0.23076923076923078,0.07667228681524736,0.0915536969571175,0.055035566112901294,0.13612926075897241,0.1936337709603011,-0.35472375801170175,0.6406256306899241,0.9034282591203493,2.003260271401784,0.19345833184431183
Haris Seferović,15,3,1.1184502751777858,0.2,0.07456335167851906,0.08868378470900024,0.052939442944898635,0.13245745919884194,0.18880367341556248,-0.36559780675423736,0.6392135384516351,0.8874297645908715,1.8815497248222142,0.21180649545721764
Paul Pogba,15,2,0.8437355470532222,0.13333333333333333,0.056249036470214814,0.06681067574499809,0.036168161364004074,0.10589730520609879,0.1833281941678444,-0.46266421664752055,0.6867225759849616,0.8629858517936801,1.1562644529467778,0.15842458912174928
Federico Chiesa,24,2,1.1195584071663267,0.08333333333333333,0.04664826696526361,0.05547330667914587,0.028393781635994746,0.09082494551515669,0.1825661343903593,-0.5154322940527969,0.7137444618599162,0.7594378152314458,0.8804415928336733,0.21180095313317415
Ivan Perišić,51,6,3.7638296240635025,0.11764705882352941,0.07380058086399024,0.08725790366708157,0.0543751091449878,0.12693688911980447,0.1821377466421139,-0.3262165079128785,0.6014051462325147,0.6930808715010239,2.2361703759364975,0.6863234629576578
Lorenzo Insigne,19,2,0.9856900158057528,0.10526315789473684,0.051878421884513304,0.06155169510614299,0.03253209298411101,0.09894146744168027,0.18122942131968234,-0.48687537419979865,0.6965380184049201,0.8188007669499914,1.0143099841942473,0.18379219121096402
Youssef En-Nesyri,12,3,1.049675841474337,0.25,0.08747298678952808,0.10204125541654524,0.06329912939169023,0.14867848129310535,0.17014073581864464,-0.34960474904367755,0.5998839259823086,0.9103640167917729,1.950324158525663,0.17481922352420587
Patrik Schick,22,5,2.367637789780476,0.22727272727272727,0.10761989953547618,0.12466218636610847,0.08274267679276391,0.1736621575442969,0.16628427814949043,-0.29036594184407116,0.5553946812396633,0.8575688752792712,2.632362210219524,0.37493031027391055
Kylian Mbappé Lottin,74,10,7.0281976464614475,0.13513513513513514,0.09497564387110065,0.10995277100764854,0.07447980683877353,0.1512686518965817,0.16311776927781407,-0.26548653316305115,0.5296560824880339,0.6270588429998138,2.9718023535385525,1.1083074081045448
Kevin De Bruyne,35,3,1.9879464469091679,0.08571428571428572,0.05679846991169051,0.06569018669584896,0.036571977815471536,0.10248391486840194,0.154912044117836,-0.46144488256670346,0.6398454000598477,0.6924964232425214,1.0120535530908321,0.3112100874455459
Aurélien Djani Tchouaméni,18,1,0.7075718630297252,0.05555555555555555,0.03930954794609584,0.045486427766757896,0.02104833939007099,0.07862554151670162,0.15239693553303413,-0.6434757896494276,0.7350148777352148,0.6197909068400665,0.2924281369702748,0.1111838367719169
Roman Yaremchuk,17,3,1.4247326032120848,0.17647058823529413,0.08380780018894617,0.09612262275953827,0.05899489961654871,0.1410566605551325,0.15063107386908836,-0.3777974831373738,0.5851587824394899,0.8671006686693639,1.5752673967879152,0.2093519837000657
Lionel Andrés Messi Cuccittini,44,4,2.795156131830974,0.09090909090909091,0.06352627572343122,0.0728643092886642,0.04258886302895696,0.11038808361444936,0.14716685647892636,-0.4219722686625338,0.6038847240115262,0.6589819745734804,1.2048438681690259,0.4108734768702509
Toni Kroos,23,1,0.8968290628624181,0.043478260869565216,0.038992567950539916,0.04408012548371384,0.020328614403712145,0.07634227287632832,0.12794599529962714,-0.6705766445433587,0.7114963221232244,-0.13417427920576452,0.10317093713758185,0.11701382326300014
Ferrán Torres García,16,4,1.9665093505327467,0.25,0.12290683440829667,0.1372387416830424,0.09268122422442726,0.18885213875867046,0.126770632326904,-0.31614134710705355,0.5077006114560676,0.8872330608178562,2.0334906494672533,0.2293105163959317
Harry Kane,53,10,7.180362359060678,0.18867924528301888,0.13547853507661656,0.1508070497199141,0.1077709484676207,0.19955211590995603,0.12507769414890912,-0.2603518373703586,0.46426692778108136,0.7118738719120922,2.8196376409393222,0.8124112760947693
Thomas Meunier,13,2,1.0362095010241823,0.15384615384615385,0.07970842315570634,0.08913032444053454,0.05312779421497799,0.13323715209253553,0.12201507286156055,-0.4341486296543695,0.5736805164941523,0.8729135462188865,0.9637904989758177,0.12248471670276673
Álvaro Borja Morata Martín,39,7,4.802321180790539,0.1794871794871795,0.12313644053309074,0.136705596224815,0.09444138631185019,0.18528977002791605,0.120132298660524,-0.297514223952021,0.48214681079741095,0.7592018145000792,2.197678819209461,0.5291970719772463
Carlos Henrique Casimiro,13,1,0.6872698508823861,0.07692307692307693,0.05286691160633739,0.059169486584105466,0.030422687885838174,0.09659194543117777,0.11930493606923198,-0.5760096072477503,0.6499829845702285,0.7380058336487065,0.3127301491176139,0.08193347471098489
Heung-Min Son,23,2,1.4240407211484438,0.08695652173913043,0.061914813962975816,0.06912111074917905,0.03842763178210696,0.10788321467655647,0.11781230175926227,-0.5017117600656706,0.6055335368075059,0.7122282213889077,0.5759592788515562,0.16574482608267438
Joakim Mæhle,13,2,1.0622084468837107,0.15384615384615385,0.08170834206797775,0.09097359864780327,0.05457808403213998,0.135437770168318,0.11755414910377526,-0.4326399413812103,0.5656479355114199,0.8715617184464064,0.9377915531162893,0.12044833553773171
Nicholas Williams Arthuer,12,2,1.0478984906860198,0.16666666666666666,0.08732487422383499,0.09665491611301386,0.05899304903771094,0.1423170348098969,0.11178707169021651,-0.4227862669633722,0.5505673170396219,0.8824069686111331,0.9521015093139802,0.11196050267014646
Granit Xhaka,18,1,0.8602483908443088,0.05555555555555555,0.04779157726912827,0.05310518331293382,0.02636445577789244,0.08841182344679661,0.11102104672754454,-0.6170857920543957,0.6587519088621603,0.3156078175676238,0.13975160915569118,0.09564490878849985
Hakim Ziyech,19,1,0.8902425075601477,0.05263157894736842,0.04685486881895514,0.051999194475469,0.02563509912850777,0.08690584459389102,0.1095851296044894,-0.6251111489215417,0.6606985377435515,0.10947138731939732,0.10975749243985233,0.0977421874737634
Andrej Kramarić,29,4,2.7817264833050914,0.13793103448275862,0.09592160287258936,0.10568713469323278,0.06770686755883099,0.15085163778098187,0.10781235305137393,-0.37907481117805997,0.5154477601674152,0.7675395394238214,1.2182735166949086,0.2832004227986591
Fabián Ruiz Peña,18,2,1.3805453226469888,0.1111111111111111,0.07669696236927716,0.08415751075227962,0.04962976879828591,0.1266775380544187,0.10094117127722191,-0.4641653994408861,0.5574353224660951,0.7832127582474997,0.6194546773530112,0.13428987089404432
