metric,diff_a_minus_b,ci_low,ci_high,p_value,significant_at_alpha,confidence
roc_auc,-0.01702795546079139,-0.0427368993977742,0.008663582971862767,0.192,False,0.95
pr_auc,-0.04836913605137169,-0.09097341163071236,-0.004316284739706052,0.034,True,0.95
brier_score,-0.10854157965682924,-0.12131617661914408,-0.09668735987160469,0.0,True,0.95
log_loss,-0.28874696721238935,-0.3219369696728638,-0.2560672259600321,0.0,True,0.95
