,0
angle_distance_interaction,0.043209124445798254
gk_distance_to_shot,0.027262285511219442
distance_to_nearest_defender,0.0237830828848953
shot_angle,0.015306545503773684
distance_x,0.00768055978610353
n_defenders_in_cone,0.007478762649338411
gk_distance_to_goal,0.006806105526787875
inverse_distance,0.00477480793312351
body_part,0.004100247063999774
goal_diff,0.0038887196669712743
is_first_time,0.0034119369140691693
play_pattern,0.0031678342978983033
n_defenders_within_3m,0.0031504890513419813
under_pressure,0.0008664162182286439
distance_to_goal,0.0007050208142958924
is_open_play,0.0
log_distance,0.0
shot_type,0.0
shot_in_box,0.0
assisted,-0.0007043862321047311
game_state,-0.001333468710867375
distance_y,-0.006443970623075068
minute,-0.01459983247030151
