match_id,competition,period,event_index,team,player,minute,second,x,y,is_goal,statsbomb_xg,body_part,shot_type,technique,play_pattern,under_pressure,is_first_time,assisted,n_defenders_in_cone,n_defenders_within_3m,distance_to_nearest_defender,gk_distance_to_goal,gk_distance_to_shot
7585,FIFA World Cup 2018,3,3334,Colombia,Davinson Sánchez Mina,101,1,109.0,42.0,0,0.0617387,Head,Open Play,Normal,From Corner,False,False,True,3.0,2.0,1.4142135623730951,1.0,10.198039027185569
7585,FIFA World Cup 2018,3,3396,Colombia,Radamel Falcao García Zárate,103,6,108.0,39.0,0,0.1108727,Head,Open Play,Normal,Regular Play,True,False,True,1.0,2.0,1.0,2.23606797749979,10.0
7585,FIFA World Cup 2018,4,3496,England,Jesse Lingard,105,9,98.0,45.0,0,0.04739213,Left Foot,Open Play,Volley,From Kick Off,False,False,False,1.0,1.0,1.4142135623730951,2.0,20.615528128088304
7585,FIFA World Cup 2018,4,3576,England,Jamie Vardy,107,1,112.0,56.0,0,0.013426386,Right Foot,Open Play,Normal,From Counter,False,False,True,1.0,1.0,3.0,4.123105625617661,13.892443989449804
7585,FIFA World Cup 2018,4,3794,England,Danny Rose,111,51,113.0,25.0,0,0.01549221,Left Foot,Open Play,Normal,From Throw In,False,False,True,1.0,1.0,2.0,4.123105625617661,12.529964086141668
7585,FIFA World Cup 2018,4,3827,England,Eric Dier,114,6,112.0,44.0,0,0.11420015,Head,Open Play,Normal,From Corner,False,False,True,1.0,3.0,2.0,1.0,8.06225774829855
7585,FIFA World Cup 2018,4,3912,England,Harry Maguire,118,28,111.0,45.0,0,0.07117139,Head,Open Play,Normal,From Throw In,True,False,True,4.0,3.0,1.4142135623730951,1.0,9.433981132056603
7585,FIFA World Cup 2018,5,3998,Colombia,Radamel Falcao García Zárate,120,14,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4000,England,Harry Kane,121,0,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4002,Colombia,Juan Guillermo Cuadrado Bello,121,46,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4004,England,Marcus Rashford,122,29,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4006,Colombia,Luis Fernando Muriel Fruto,123,13,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4008,England,Jordan Brian Henderson,123,58,109.0,41.0,0,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4010,Colombia,Andrés Mateus Uribe Villa,124,50,109.0,41.0,0,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4012,England,Kieran Trippier,125,37,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4014,Colombia,Carlos Arturo Bacca Ahumada,126,25,109.0,41.0,0,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7585,FIFA World Cup 2018,5,4016,England,Eric Dier,127,14,109.0,41.0,1,0.7835,Right Foot,Penalty,Normal,Other,False,False,False,,,,,
7570,FIFA World Cup 2018,1,302,Belgium,Youri Tielemans,5,46,93.0,52.0,0,0.022962598,Right Foot,Open Play,Normal,Regular Play,False,False,True,2.0,0.0,5.0990195135927845,3.0,28.460498941515414
7570,FIFA World Cup 2018,1,436,Belgium,Michy Batshuayi Tunga,9,2,117.0,40.0,0,0.25720772,Right Foot,Open Play,Normal,Regular Play,False,False,False,3.0,4.0,1.0,1.0,2.0
7570,FIFA World Cup 2018,1,522,England,Marcus Rashford,11,10,91.0,20.0,0,0.006949785,Right Foot,Open Play,Normal,From Corner,False,False,True,1.0,1.0,1.4142135623730951,1.0,34.40930106817051
7570,FIFA World Cup 2018,1,586,England,Jamie Vardy,13,4,112.0,42.0,0,0.17350295,Head,Open Play,Normal,Regular Play,False,False,True,1.0,1.0,1.4142135623730951,2.0,6.324555320336759
7570,FIFA World Cup 2018,1,1191,Belgium,Michy Batshuayi Tunga,26,3,109.0,55.0,0,0.037858445,Right Foot,Open Play,Normal,Regular Play,False,False,True,2.0,1.0,2.8284271247461903,5.0990195135927845,14.142135623730951
7570,FIFA World Cup 2018,1,1197,Belgium,Marouane Fellaini-Bakkioui,26,41,107.0,33.0,0,0.068467006,Right Foot,Open Play,Normal,From Corner,False,False,True,2.0,2.0,1.4142135623730951,1.0,15.264337522473747
7570,FIFA World Cup 2018,1,1210,Belgium,Youri Tielemans,26,50,91.0,49.0,0,0.019955475,Right Foot,Open Play,Normal,From Corner,False,False,False,2.0,0.0,4.0,3.0,29.614185789921695
7570,FIFA World Cup 2018,1,1479,England,Ruben Loftus-Cheek,33,50,113.0,40.0,0,0.08550697,Head,Open Play,Normal,From Corner,False,False,True,2.0,3.0,1.0,1.4142135623730951,6.082762530298219
7570,FIFA World Cup 2018,1,1493,Belgium,Adnan Januzaj,34,36,90.0,41.0,0,0.024078226,Left Foot,Open Play,Normal,From Goal Kick,False,False,True,2.0,0.0,4.0,2.23606797749979,29.017236257093817
7570,FIFA World Cup 2018,1,1498,Belgium,Anga Dedryck Boyata,35,11,111.0,43.0,0,0.10147972,Head,Open Play,Diving Header,From Corner,False,False,True,4.0,3.0,1.0,2.0,9.055385138137417
7570,FIFA World Cup 2018,1,1541,England,Jamie Vardy,35,47,109.0,35.0,0,0.07114903,Head,Open Play,Normal,Regular Play,True,False,True,1.0,1.0,1.0,1.4142135623730951,10.770329614269007
7570,FIFA World Cup 2018,1,1598,Belgium,Thorgan Hazard,37,0,99.0,34.0,0,0.054440886,Right Foot,Open Play,Normal,From Free Kick,True,True,True,2.0,1.0,2.23606797749979,1.0,22.135943621178654
7570,FIFA World Cup 2018,1,1675,Belgium,Thorgan Hazard,39,2,108.0,27.0,0,0.0480227,Right Foot,Open Play,Volley,Regular Play,False,True,True,2.0,1.0,2.8284271247461903,1.0,16.97056274847714
7570,FIFA World Cup 2018,2,2151,England,Marcus Rashford,47,51,107.0,27.0,0,0.07081192,Right Foot,Open Play,Normal,From Throw In,False,False,False,1.0,2.0,2.23606797749979,1.4142135623730951,16.97056274847714
7570,FIFA World Cup 2018,2,2246,Belgium,Adnan Januzaj,50,3,105.0,53.0,1,0.07781259,Left Foot,Open Play,Normal,Regular Play,False,False,True,1.0,0.0,3.1622776601683795,2.23606797749979,17.69180601295413
7570,FIFA World Cup 2018,2,2284,England,Trent Alexander-Arnold,53,19,93.0,42.0,0,0.06266041,Right Foot,Free Kick,Normal,From Free Kick,False,False,False,4.0,0.0,11.0,1.4142135623730951,26.019223662515376
7570,FIFA World Cup 2018,2,2392,Belgium,Adnan Januzaj,54,48,107.0,54.0,0,0.06467166,Left Foot,Open Play,Normal,Regular Play,False,False,True,1.0,2.0,2.23606797749979,2.8284271247461903,16.278820596099706
7570,FIFA World Cup 2018,2,2829,England,Marcus Rashford,65,35,104.0,33.0,0,0.46036732,Right Foot,Open Play,Normal,From Throw In,False,False,True,1.0,0.0,4.47213595499958,11.704699910719626,5.830951894845301
